ID,Set,English,English_Strict,Spanish,Portuguese,French
grill1,ARTIFACT,"grill, barbeque",,"parilla, barbacoa",grelha/churrasco (jirau),"gril, boucan"
grill2,,"grill, barbeque@",,,,
wall1,ARTIFACT,"wall, fence","fence, cerco, cerca","pared, cerca","parede, cerca","mur, clôture, barrière"
wall2,,"wall, fence@",,,,
door1,ARTIFACT,door,,puerta,porta,porte
door2,,door@,,,,
house1,ARTIFACT,house,,casa,casa,maison
house2,,house@,,,,
tambo1,ARTIFACT,"tambo, shelter",,tambo,"abrigo, tambo",chapeau
tambo2,LDMREVUPTOHERE,"tambo, shelter@",,,,
patio1,ARTIFACT,patio (porch),,patio,patio,"patio, cour"
patio2,,patio (porch)@,,,,
beach1,,beach,,playa,praia,plage
beach2,,beach@,,,,
village1,ARTIFACT,village,,pueblo,aldeia,village
village2,,village@,,,,
port1,ARTIFACT,port,,puerto,porto,port
port2,,port@,,,,
path1,"TG100, ARTIFACT","path, road",,camino,caminho (trilha),chemin
path2,,"path, road@",,,,
chacra1,ARTIFACT,chacra,,chacra,roça,"champ, potager, jardin, abbatis (plantation)"
chacra2,,chacra@,,,,
cure1,CULTURE,"cure, medicine",,remedio,remédio,remède
cure2,,"cure, medicine@",,,,
wound1,TG100,wound,,herida,ferida,"blessure, plaie"
wound2,,wound@,,,,
flute1,ARTIFACT,flute,,"flauta, pífano",flauta,flûte
flute2,,flute@,,,,
fan1,ARTIFACT,fan,,ventilador (abanico),"leque, ventilador",éventail
fan2,,fan@,,,,
bead1,ARTIFACT,bead,,"abalario, mostacilla",miçanga,perle (de verre)
bead2,,bead@,,,,
broom1,ARTIFACT,broom,,escoba,vassoura,balai
broom2,,broom@,,,,
diggingstick1,"TG100, ARTIFACT",digging stick,,azada,enxada,"bâton à creuser, houe"
diggingstick2,,digging stick@,,,,
paddle1,,paddle (n.),,remo,remo,pagaie
cloth1,ARTIFACT,cloth,,paño (tela),pano,tissu
cloth2,,cloth@,,,,
garbage1,,garbage,,basura,lixo,ordures
garbage2,,garbage@,,,,
firewood1,,firewood,,leña,lenha,"bois de chauffage, bois à brûler"
firewood2,,firewood@,,,,
grindstone1,ARTIFACT,grindstone,,piedra de moler,pedra de amolar,meule
mortar1,ARTIFACT,mortar,,"mortero, pilón","pilão, almofariz (in Brazilian Portuguese) (NCP: see Sérgio's note in this cell if you are working with a Portuguese source)",mortier (Pilon in Créole)
pestle1,ARTIFACT,pestle,,"mano de mortero, mazo","mão de pilão, (NCP: see Sérgio's note in this cell if you are working with a Portuguese source)",pilon (Bâton-pilon in Créole)
thread1,ARTIFACT,thread,,hilo,linha (fio),fil
thread2,LDM PG rev up to here,thread@,,,,
rattle1,ARTIFACT,"rattle, maraca","rattle, maraca, maracá~chocalho","maraca, sonaja, sonajero, shacapa","maracá, chocalho",hochet
rattle2,,"rattle, maraca@",,,,
rope1,"TG200, ARTIFACT",rope,,cuerda,corda,corde
rope2,,rope@,,,,
fishingnet1,ARTIFACT,fishing net,,"red de pescar, tarrafa",rede de pescar,filet de pêche
fishingnet2,,fishing net@,,,,
poison1,,poison,,veneno,veneno,poison
poison2,,poison@,,,,
fishpoison1,,fish poison,,barbasco,timbó,poison à pêcher
fishpoison2,,fish poison@,,,,
fishhook1,"TG100, ARTIFACT",fish hook,,anzuelo,anzol,hameçon
fishhook2,,fish hook@,,,,
spear1,ARTIFACT,spear,,lanza,lança,"lance (sagaie, javelot)"
spear2,,spear@,,,,
axe1,ARTIFACT,axe,,hacha,machado,hache
axe2,,axe@,,,,
bow1,ARTIFACT,bow,,arco,arco,arc
bow2,,bow@,,,,
arrow1,ARTIFACT,arrow,,flecha,flecha,flèche
arrow2,,arrow@,,,,
knife1,ARTIFACT,knife,,cuchillo,faca,couteau
knife2,,knife@,,,,
cup1,ARTIFACT,cup,,"copa (huingo, cuya)",copo (cuia),tasse
cup2,,cup@,,,,
crock1,ARTIFACT,crock (earthenware),,"cántaro, tinaja","cântaro, pote","cruche, pichet, pot"
crock2,,crock@,,,,
pot1,ARTIFACT,pot,,olla,panela,marmite
pot2,,pot@,,,,
sieve1,ARTIFACT,sieve (strainer),,"tamiz, cernidor, colador",peneira,tamis
sieve2,,sieve (strainer)@,,,,
basket1,ARTIFACT,basket,,"cesto, canasta",cesto (canasta),panier
basket2,,basket@,,,,
thorn1,,thorn,,espina,espinho,épine
thorn2,,thorn@,,,,
pain1,,pain (n.),,dolor,dor,douleur
pain2,,pain (n.)@,,,,
work1,,work (n),,trabajo,trabalho,travail
work2,,work (n)@,,,,
amount1,,amount,,"cantidad, porción",porção,quantité
amount2,,amount@,,,,
beginning1,,beginning,,comienzo,começo,début
thing1,,thing,,cosa,coisa,chose
thing2,,thing@,,,,
name1,TG100,name (n.),"The verb name is in the lax row. (We initially had a meaning name (v) glossed in Spanish and Portuguese as llamar and chamar, the exact same glosses for call. Most of the items in the old name (v) meaning were identical with call, and were moved there. The ones that were not identical were moved in the lax row here with name (v) as their gloss. Their original gloss could be llamar or chamar and they could actually mean call and not name, but we need to look at the original source for that)",nombre,nome,nom
name2,,name (n.)@,,,,
story1,CULTURE,story,,"cuento, historia","conta, estória",histoire
story2,,story@,,,,
good1,TG100,good,,bueno,"bom, boa",bon
good2,,good@,,,,
ugly1,,ugly,,feo,feio,laid
ugly2,,ugly@,,,,
bad1,TG200,bad,,mal,ruim (mau),"mauvais, méchant"
bad2,,bad@,,,,
big1,"TG100, FUNCT","big, large",,grande,grande,"grand, gros"
big2,,"big, large@",,,,
small1,TG100,small,,pequeño,pequeno,petit
small2,,small@,,,,
fat3,,fat,,gordo,gordo,gros
fat4,,fat@,,,,
narrow1,TG200,narrow,,"estrecho, angosto",estreito,étroit
narrow2,,narrow@,,,,
skinny1,TG200,"skinny, thin",,flaco,magro,"maigre, mince, fin (for things)"
skinny2,,"skinny, thin@",,,,
dirty1,TG200,dirty,,sucio,sujo,sale
dirty2,,dirty@,"Items from old dirty, soil (v) row are here",,,
clean1,,clean,,limpio,limpo,propre
clean2,,clean@,,,,
wet1,TG200,wet,,mojado,molhado,mouillé
wet2,,wet@,,,,
dry1,,dry,,seco,seco,sec
dry2,,dry@,,,,
slow1,,slow,,lento,"lento, devagar",lent
slow2,,slow@,,,,
fast1,,fast,,rápido,rápido,rapide
fast2,,fast@,,,,
cold1,TG100,cold,,frío,frio,froid
cold2,,cold@,,,,
hot1,,hot,,caliente,quente,chaud
hot2,,hot@,,,,
new1,TG100,new,,nuevo,novo,"nouveau, neuf"
new2,,new@,,,,
old1,TG200,old,,viejo (anciano),velho,vieux
old2,,old@,,,,
short1,TG200,short,,"corto, bajo","curto, baixo","court, petit"
short2,,short@,,,,
long1,TG100,long,,largo,comprido,long
long2,,long@,,,,
heavy1,TG200,heavy,,pesado,pesado,lourd
heavy2,,heavy@,,,,
spicy1,CULTURE,spicy,,picante,picante,"épicé, piquant, pimenté"
spicy2,,spicy@,,,,
sour1,CULTURE,sour,,agrio,azedo,aigre
bitter1,CULTURE,bitter,,amargo,amargo,amer
sweet1,CULTURE,sweet,,dulce,doce,doux
sweet2,,sweet@,,,,
tasty1,,tasty,,sabroso,saboroso,savoureux
tasty2,,tasty@,,,,
rotten1,TG200,rotten,,podrido,podre,pourri
rotten2,,rotten@,,,,
full1,TG100,full,,lleno,cheio,plein
full2,,full@,,,,
hungry1,,hungry,,tener hambre (hambriento),"faminto, estar com fome/ter fome",avoir faim
hungry2,,hungry@,,,,
tired1,,tired,,cansado,cansado,fatigué
tired2,,tired@,,,,
quiet1,,"quiet, calm","quiet, quieto~callado, quieto","tranquilo, calmado (tranquilo, callado)","quieto, calmo",calme
quiet2,,"quiet, calm@",,,,
sick1,TG100,sick,,enfermo,doente,malade
sick2,,sick@,,,,
lazy1,,lazy,,"perezoso, flojo",preguiçoso,paresseux
lazy2,,lazy@,,,,
poor1,,poor,,pobre,"pobre, coitado",pauvre
poor2,,poor@,,,,
drunk1,,drunk,,borracho,bêbado,ivre
drunk2,,drunk@,,,,
naked1,,naked,,desnudo,"nu, despido",nu
naked2,,naked@,,,,
angry1,TG100,"angry, mad, be angry (intr)","be.angry, estar.enojado~rabioso, estar.zangado~com.ravia","enojado (rabiado, fastidiado), enojarse (rabiarse, fastidiarse)","zangado, com haiva, furioso, ficar com raiva (estar irritado)","fâché, furieux, être en colère, être fâché"
angry2,,"angry, mad, be angry (intr)@",,,,
happy1,,happy,,"alegre, feliz, contento","feliz, alegre, contente","heureux, gai"
happy2,,happy@,,,,
