ID,Language_ID,Phonemic,Phonetic,Orthographic,Variants,Form_Comment,Source,Procedural_Comment,Procedural_Comment_Concept,Concept_ID
xingu_asurini1_scrape1_1,xingu_asurini1,No value,No value,No value,,No value,xingu_asurini1No value,,,scrape1
kayabi1_scrape1_1,kayabi1,,,<kawia>,,(arranhar-tn),kayabi1{1},keep: <kawia>(arranhar-tn),,scrape1
kayabi1_scrape1_2,kayabi1,,,<-juat>,,(coçar),kayabi1{2},keep: <kawia>(arranhar-tn),,scrape1
apiaka1_scrape1_1,apiaka1,No value,No value,No value,,No value,apiaka1No value,,,scrape1
parintintin1_scrape1_1,parintintin1,,,<-emovyg>,,(coçar),parintintin1{1},keep: <-e'ỹi> (arranhar),,scrape1
parintintin1_scrape1_2,parintintin1,,,<-agwir>,,(arranhar),parintintin1{1},keep: <-e'ỹi> (arranhar),,scrape1
parintintin1_scrape1_3,parintintin1,,,<-e'ỹi>,,(arranhar),parintintin1{1},keep: <-e'ỹi> (arranhar),,scrape1
kamayura1_scrape1_1,kamayura1,,,<karãj>,,(also means 'write'),kamayura1{1},Keep: <karãj>,,scrape1
kamayura1_scrape1_2,kamayura1,,,<e'ɨ̃j>,,(coçar),kamayura1{12},Keep: <karãj>,,scrape1
wayampi1_scrape1_1,wayampi1,/ɔ-pipĩ/,,,,"(gratter, racler)",wayampi1{1},keep kalay,,scrape1
wayampi1_scrape1_2,wayampi1,/ɔ-ɛɨy/,,,,"(gratter, frotter)",wayampi1{1},keep kalay,,scrape1
wayampi1_scrape1_3,wayampi1,/(y-)kakãy/,,,,(se gratter),wayampi1{1},keep kalay,,scrape1
wayampi1_scrape1_4,wayampi1,/(-y-)kãkãy/,,,,(se gratter),wayampi1{1},keep kalay,,scrape1
wayampi1_scrape1_5,wayampi1,/(-y-)kãlãy/,,,,"(s' écorcher, s' égratigner)",wayampi1{1},keep kalay,,scrape1
wayampi1_scrape1_6,wayampi1,/(mɔ̃-)ngãlãy/,,,,"(gratter, polir, désherber)",wayampi1{1},keep kalay,,scrape1
wayampi1_scrape1_7,wayampi1,/mɔ̃/,,,,"(grattage, se gratter)",wayampi1{1},keep kalay,,scrape1
teko1_scrape1_1,teko1,/dʒowaɾ/,,,,(gratter),teko1{11},keep dzowar,,scrape1
teko1_scrape1_2,teko1,/kakaɲ/,,,,(gratter),teko1{11},keep dzowar,,scrape1
urubu_kaapor1_scrape1_1,urubu_kaapor1,,,<karãj>,,"(arranhar, coçar)",urubu_kaapor1{1},,,scrape1
guaja1_scrape1_1,guaja1,No value,No value,No value,,No value,guaja1No value,,,scrape1
aweti1_scrape1_1,aweti1,,,<atit>,,,aweti1{8},keep karaj,,scrape1
aweti1_scrape1_2,aweti1,,,<karãj>,,"(raspar, arranhar, limpiar, capinar)",aweti1{8},keep karaj,,scrape1
aweti1_scrape1_3,aweti1,,[-eʔe],,,(“ralar”),aweti1{1},keep karaj,,scrape1
aweti1_scrape1_4,aweti1,/karãj/,,,,(scratch),aweti1{6},keep karaj,,scrape1
satere_mawe1_scrape1_1,satere_mawe1,,,<-pe'e>,,(gratter),satere_mawe1{2},,,scrape1
tapiete1_scrape2_1,tapiete1,,[kɨtɨ2],<kɨtɨ2>,,"(to scrub; to scrape; to rub, fregar; raspar; untar)",tapiete1{1},,,scrape2
tapiete1_scrape2_2,tapiete1,,[pepéʔa],<pepe'a>,,"(scratch, escarbar; desparramar cosas grandes para encontrar algo chico; redup of open, ""pe'a"")",tapiete1{1},,,scrape2
guarayu1_scrape2_1,guarayu1,,,<pĩ>,,"(schaben, hobeln, glätten)",guarayu1{2},,,scrape2
yuqui1_scrape2_1,yuqui1,,,<equiarãĩ>,,(Scrape it! (with teeth)(the way motacu is eaten)),yuqui1{2},,,scrape2
yuqui1_scrape2_2,yuqui1,,,<equichĩgo>,,(Brush it! Scratch it! (re: brushing of teeth)),yuqui1{2},,,scrape2
yuqui1_scrape2_3,yuqui1,,,<yequitiquiti dn>,,(scratch self against something),yuqui1{2},,,scrape2
yuqui1_scrape2_4,yuqui1,,,<iajĩ>,,(scrape fruit with teeth (way motacu is eaten)),yuqui1{2},,,scrape2
tupinamba1_scrape2_1,tupinamba1,,,<eỹia>,,(s) (coçar),tupinamba1{2},,,scrape2
tocantins_asurini1_scrape2_1,tocantins_asurini1,,,<ahít>,,(arranhar rasgando),tocantins_asurini1{3},,,scrape2
tocantins_asurini1_scrape2_2,tocantins_asurini1,,,<omopínim>,,(to scrape little lines),tocantins_asurini1{1},,,scrape2
tocantins_asurini1_scrape2_3,tocantins_asurini1,,,<-apín>,,(raspar o cabelo da cabeça),tocantins_asurini1{3:45},,,scrape2
tembe1_scrape2_1,tembe1,,,<pihĭ-pihĭw>,,(coçar),tembe1{1},,,scrape2
tembe1_scrape2_2,tembe1,,,<zuhar>,,(coçar),tembe1{1},,,scrape2
tembe1_scrape2_3,tembe1,,,<pirêmo zu-har>,,(coçar),tembe1{1},,,scrape2
tembe1_scrape2_4,tembe1,,,<pin>,,"(arranhar, raspar)",tembe1{1},,,scrape2
parintintin1_scrape2_1,parintintin1,,,<-kytyg>,,(ralar),parintintin1{1},,,scrape2
parintintin1_scrape2_2,parintintin1,,,<-karãi>,,(cravar as unhas em algo para arrancar um pedaço),parintintin1{1},,,scrape2
kamayura1_scrape2_1,kamayura1,,,<jajap>,,(arranhadeira),kamayura1{8},,,scrape2
wayampi1_scrape2_1,wayampi1,/yɔwa/,,,,"(tomentum, tomenteux (pour une plante), urticant (pour une plante))",wayampi1{1},,,scrape2
aweti1_scrape2_1,aweti1,,,<tatitáp>,,(arranhadeira),aweti1{3},,,scrape2
ache1_grind1_1,ache1,/kwi/,[kwi.'ʔi],,,(moler),ache1{4},,,grind1
ache1_grind1_2,ache1,/kɨrɨ/,,,,,ache1{1},,,grind1
paraguayan_guarani1_grind1_1,paraguayan_guarani1,,,<(a)joso>,,,paraguayan_guarani1{1},Keep: <(a)joso>,,grind1
paraguayan_guarani1_grind1_2,paraguayan_guarani1,,,<(a)mongu'i>,,,paraguayan_guarani1{1},Keep: <(a)joso>,,grind1
paraguayan_guarani1_grind1_3,paraguayan_guarani1,,,<(a)mongu'itumi>,,,paraguayan_guarani1{1},Keep: <(a)joso>,,grind1
kaiwa1_grind1_1,kaiwa1,No value,No value,No value,,No value,kaiwa1No value,,,grind1
mbya_guarani1_grind1_1,mbya_guarani1,,,<-mongu'i>,,"(pulveriar, moer)",mbya_guarani1{1},,,grind1
chiripa1_grind1_1,chiripa1,No value,No value,No value,,No value,chiripa1No value,,,grind1
xeta1_grind1_1,xeta1,No value,No value,No value,,No value,xeta1No value,,,grind1
tapiete1_grind1_1,tapiete1,,[dʒoso],<yoso>,,"(to grind, moler, molelo)",tapiete1{1},"keep: <yoso>[dʒoso] (to grind, moler, molelo)",,grind1
